Epoch: [0][0/28], lr: 0.02000	Time 29.286 (29.286)	Data 10.399 (10.399)	Loss 7.0625 (7.0625)	Prec@1 0.391 (0.391)	Prec@5 0.586 (0.586)
Epoch: [0][10/28], lr: 0.02000	Time 0.695 (12.756)	Data 0.008 (9.741)	Loss 9.0000 (8.2699)	Prec@1 1.367 (1.000)	Prec@5 3.125 (3.266)
Epoch: [0][20/28], lr: 0.02000	Time 3.130 (9.941)	Data 0.010 (7.562)	Loss 7.4062 (8.2098)	Prec@1 0.977 (0.816)	Prec@5 2.344 (2.844)
Epoch: [1][0/28], lr: 0.02000	Time 10.690 (10.690)	Data 9.889 (9.889)	Loss 7.0312 (7.0312)	Prec@1 0.977 (0.977)	Prec@5 3.312 (3.312)
Epoch: [1][10/28], lr: 0.02000	Time 1.557 (7.679)	Data 0.008 (6.169)	Loss 6.8125 (7.0000)	Prec@1 1.758 (1.258)	Prec@5 5.062 (4.094)
Epoch: [1][20/28], lr: 0.02000	Time 1.452 (5.914)	Data 0.009 (4.469)	Loss 6.7188 (6.8914)	Prec@1 0.391 (1.125)	Prec@5 4.312 (4.562)
Epoch: [2][0/28], lr: 0.01999	Time 10.256 (10.256)	Data 9.979 (9.979)	Loss 6.6250 (6.6250)	Prec@1 1.172 (1.172)	Prec@5 2.734 (2.734)
Epoch: [2][10/28], lr: 0.01999	Time 0.891 (2.479)	Data 0.013 (0.997)	Loss 6.5312 (6.5767)	Prec@1 1.172 (1.031)	Prec@5 4.875 (4.375)
Epoch: [2][20/28], lr: 0.01999	Time 1.953 (1.964)	Data 0.010 (0.557)	Loss 6.4688 (6.5357)	Prec@1 0.586 (1.008)	Prec@5 4.500 (4.594)
Epoch: [3][0/28], lr: 0.01997	Time 9.456 (9.456)	Data 9.158 (9.158)	Loss 6.4688 (6.4688)	Prec@1 1.758 (1.758)	Prec@5 4.312 (4.312)
Epoch: [3][10/28], lr: 0.01997	Time 0.861 (2.537)	Data 0.009 (0.924)	Loss 6.4062 (6.4148)	Prec@1 0.781 (1.297)	Prec@5 4.875 (5.031)
Epoch: [3][20/28], lr: 0.01997	Time 2.227 (1.949)	Data 0.009 (0.518)	Loss 6.4375 (6.4196)	Prec@1 1.172 (1.305)	Prec@5 5.062 (5.250)
Epoch: [4][0/28], lr: 0.01995	Time 10.013 (10.013)	Data 9.626 (9.626)	Loss 6.4375 (6.4375)	Prec@1 1.953 (1.953)	Prec@5 4.500 (4.500)
Epoch: [4][10/28], lr: 0.01995	Time 0.777 (2.559)	Data 0.010 (0.979)	Loss 6.4062 (6.4176)	Prec@1 1.758 (1.406)	Prec@5 5.281 (5.500)
Epoch: [4][20/28], lr: 0.01995	Time 2.492 (1.984)	Data 0.010 (0.548)	Loss 6.4375 (6.4122)	Prec@1 1.367 (1.266)	Prec@5 5.469 (5.500)
Epoch: [5][0/28], lr: 0.01991	Time 9.691 (9.691)	Data 9.344 (9.344)	Loss 6.4375 (6.4375)	Prec@1 1.367 (1.367)	Prec@5 3.906 (3.906)
Epoch: [5][10/28], lr: 0.01991	Time 0.785 (2.553)	Data 0.009 (0.940)	Loss 6.3750 (6.3835)	Prec@1 1.172 (1.445)	Prec@5 6.062 (5.531)
Epoch: [5][20/28], lr: 0.01991	Time 2.006 (1.951)	Data 0.010 (0.527)	Loss 6.3750 (6.3810)	Prec@1 0.977 (1.430)	Prec@5 5.469 (5.531)
Epoch: [6][0/28], lr: 0.01988	Time 10.184 (10.184)	Data 9.868 (9.868)	Loss 6.4062 (6.4062)	Prec@1 2.156 (2.156)	Prec@5 4.094 (4.094)
Epoch: [6][10/28], lr: 0.01988	Time 0.803 (2.344)	Data 0.010 (0.989)	Loss 6.3438 (6.3580)	Prec@1 2.156 (2.016)	Prec@5 7.438 (5.969)
Epoch: [6][20/28], lr: 0.01988	Time 2.224 (1.872)	Data 0.010 (0.552)	Loss 6.3750 (6.3542)	Prec@1 1.562 (1.844)	Prec@5 6.250 (6.062)
Epoch: [7][0/28], lr: 0.01983	Time 8.133 (8.133)	Data 7.821 (7.821)	Loss 6.3750 (6.3750)	Prec@1 1.562 (1.562)	Prec@5 4.500 (4.500)
Epoch: [7][10/28], lr: 0.01983	Time 0.790 (2.733)	Data 0.010 (0.802)	Loss 6.3438 (6.3295)	Prec@1 2.156 (2.219)	Prec@5 6.844 (6.500)
Epoch: [7][20/28], lr: 0.01983	Time 2.099 (2.073)	Data 0.010 (0.455)	Loss 6.3438 (6.3378)	Prec@1 0.781 (1.930)	Prec@5 6.250 (6.531)
Epoch: [8][0/28], lr: 0.01978	Time 8.401 (8.401)	Data 8.100 (8.100)	Loss 6.3438 (6.3438)	Prec@1 2.156 (2.156)	Prec@5 4.875 (4.875)
Epoch: [8][10/28], lr: 0.01978	Time 0.797 (2.646)	Data 0.011 (0.831)	Loss 6.2812 (6.2983)	Prec@1 0.977 (2.016)	Prec@5 8.188 (6.719)
Epoch: [8][20/28], lr: 0.01978	Time 2.142 (2.006)	Data 0.012 (0.471)	Loss 6.2812 (6.2976)	Prec@1 1.172 (1.938)	Prec@5 7.219 (6.906)
Epoch: [9][0/28], lr: 0.01972	Time 10.111 (10.111)	Data 9.783 (9.783)	Loss 6.2812 (6.2812)	Prec@1 1.758 (1.758)	Prec@5 6.250 (6.250)
Epoch: [9][10/28], lr: 0.01972	Time 0.802 (2.325)	Data 0.010 (0.984)	Loss 6.2500 (6.2557)	Prec@1 2.734 (2.234)	Prec@5 7.219 (7.094)
Epoch: [9][20/28], lr: 0.01972	Time 2.151 (1.854)	Data 0.011 (0.550)	Loss 6.2188 (6.2411)	Prec@1 1.953 (2.234)	Prec@5 7.438 (7.281)
Epoch: [10][0/28], lr: 0.01966	Time 10.027 (10.027)	Data 9.715 (9.715)	Loss 6.2500 (6.2500)	Prec@1 0.977 (0.977)	Prec@5 6.250 (6.250)
Epoch: [10][10/28], lr: 0.01966	Time 0.894 (2.576)	Data 0.008 (0.977)	Loss 6.1875 (6.1989)	Prec@1 2.734 (2.656)	Prec@5 8.375 (8.000)
Epoch: [10][20/28], lr: 0.01966	Time 2.110 (2.016)	Data 0.009 (0.547)	Loss 6.1875 (6.1920)	Prec@1 2.344 (2.703)	Prec@5 7.438 (8.188)
Epoch: [11][0/28], lr: 0.01959	Time 9.830 (9.830)	Data 9.545 (9.545)	Loss 6.1875 (6.1875)	Prec@1 1.953 (1.953)	Prec@5 6.438 (6.438)
Epoch: [11][10/28], lr: 0.01959	Time 0.792 (2.479)	Data 0.009 (0.956)	Loss 6.1875 (6.1705)	Prec@1 2.344 (2.859)	Prec@5 9.000 (8.188)
Epoch: [11][20/28], lr: 0.01959	Time 2.260 (1.964)	Data 0.013 (0.534)	Loss 6.1562 (6.1592)	Prec@1 3.125 (2.953)	Prec@5 8.375 (8.500)
Epoch: [12][0/28], lr: 0.01951	Time 10.010 (10.010)	Data 9.704 (9.704)	Loss 6.1250 (6.1250)	Prec@1 3.719 (3.719)	Prec@5 7.812 (7.812)
Epoch: [12][10/28], lr: 0.01951	Time 0.795 (2.545)	Data 0.010 (0.972)	Loss 6.1250 (6.1165)	Prec@1 2.938 (3.250)	Prec@5 9.938 (8.938)
Epoch: [12][20/28], lr: 0.01951	Time 1.992 (1.965)	Data 0.011 (0.543)	Loss 6.0938 (6.1101)	Prec@1 3.125 (3.281)	Prec@5 9.375 (9.062)
Epoch: [13][0/28], lr: 0.01943	Time 9.779 (9.779)	Data 9.438 (9.438)	Loss 6.0938 (6.0938)	Prec@1 2.531 (2.531)	Prec@5 9.000 (9.000)
Epoch: [13][10/28], lr: 0.01943	Time 0.809 (2.680)	Data 0.010 (0.998)	Loss 6.0938 (6.0881)	Prec@1 3.125 (3.234)	Prec@5 10.375 (9.375)
Epoch: [13][20/28], lr: 0.01943	Time 2.169 (2.074)	Data 0.011 (0.558)	Loss 6.0625 (6.0804)	Prec@1 3.719 (3.328)	Prec@5 10.125 (9.500)
Epoch: [14][0/28], lr: 0.01934	Time 8.207 (8.207)	Data 7.883 (7.883)	Loss 6.0625 (6.0625)	Prec@1 2.938 (2.938)	Prec@5 8.000 (8.000)
Epoch: [14][10/28], lr: 0.01934	Time 0.813 (2.601)	Data 0.010 (0.810)	Loss 6.0625 (6.0540)	Prec@1 3.312 (3.344)	Prec@5 10.375 (10.062)
Epoch: [14][20/28], lr: 0.01934	Time 1.707 (1.964)	Data 0.012 (0.459)	Loss 6.0625 (6.0521)	Prec@1 2.734 (3.328)	Prec@5 9.188 (9.875)
Epoch: [15][0/28], lr: 0.01924	Time 9.672 (9.672)	Data 9.384 (9.384)	Loss 6.0625 (6.0625)	Prec@1 2.938 (2.938)	Prec@5 12.125 (12.125)
Epoch: [15][10/28], lr: 0.01924	Time 0.779 (2.448)	Data 0.010 (0.953)	Loss 6.0625 (6.0312)	Prec@1 2.531 (3.359)	Prec@5 10.938 (10.250)
Epoch: [15][20/28], lr: 0.01924	Time 2.020 (1.914)	Data 0.012 (0.534)	Loss 5.9688 (6.0164)	Prec@1 3.125 (3.547)	Prec@5 9.188 (10.312)
Epoch: [16][0/28], lr: 0.01914	Time 10.145 (10.145)	Data 9.846 (9.846)	Loss 6.0625 (6.0625)	Prec@1 3.516 (3.516)	Prec@5 10.562 (10.562)
Epoch: [16][10/28], lr: 0.01914	Time 0.795 (2.469)	Data 0.010 (0.987)	Loss 6.0000 (5.9830)	Prec@1 3.719 (4.125)	Prec@5 11.312 (11.062)
Epoch: [16][20/28], lr: 0.01914	Time 2.557 (1.947)	Data 0.011 (0.552)	Loss 5.9375 (5.9702)	Prec@1 3.312 (4.062)	Prec@5 10.125 (11.062)
Epoch: [17][0/28], lr: 0.01903	Time 9.173 (9.173)	Data 8.837 (8.837)	Loss 6.0000 (6.0000)	Prec@1 2.734 (2.734)	Prec@5 10.938 (10.938)
Epoch: [17][10/28], lr: 0.01903	Time 0.894 (2.712)	Data 0.009 (0.890)	Loss 5.9688 (5.9261)	Prec@1 5.062 (4.000)	Prec@5 12.688 (11.812)
Epoch: [17][20/28], lr: 0.01903	Time 1.405 (2.027)	Data 0.010 (0.500)	Loss 5.8750 (5.9167)	Prec@1 4.500 (3.953)	Prec@5 11.125 (11.562)
Epoch: [18][0/28], lr: 0.01891	Time 9.642 (9.642)	Data 9.336 (9.336)	Loss 5.9062 (5.9062)	Prec@1 3.719 (3.719)	Prec@5 11.500 (11.500)
Epoch: [18][10/28], lr: 0.01891	Time 0.891 (2.621)	Data 0.009 (0.938)	Loss 5.8750 (5.8750)	Prec@1 4.688 (4.250)	Prec@5 13.875 (12.750)
Epoch: [18][20/28], lr: 0.01891	Time 2.167 (2.030)	Data 0.011 (0.526)	Loss 5.8438 (5.8631)	Prec@1 3.312 (4.219)	Prec@5 10.375 (12.688)
Epoch: [19][0/28], lr: 0.01879	Time 10.134 (10.134)	Data 9.861 (9.861)	Loss 5.9062 (5.9062)	Prec@1 3.312 (3.312)	Prec@5 12.688 (12.688)
Epoch: [19][10/28], lr: 0.01879	Time 0.797 (2.443)	Data 0.012 (0.994)	Loss 5.7812 (5.8409)	Prec@1 5.469 (4.625)	Prec@5 13.875 (12.938)
Epoch: [19][20/28], lr: 0.01879	Time 2.077 (1.909)	Data 0.023 (0.556)	Loss 5.7500 (5.8289)	Prec@1 4.875 (4.656)	Prec@5 11.500 (12.688)
Epoch: [20][0/28], lr: 0.01866	Time 9.913 (9.913)	Data 9.612 (9.612)	Loss 5.8125 (5.8125)	Prec@1 4.312 (4.312)	Prec@5 13.250 (13.250)
Epoch: [20][10/28], lr: 0.01866	Time 0.787 (2.357)	Data 0.009 (0.973)	Loss 5.8438 (5.7727)	Prec@1 5.062 (4.781)	Prec@5 13.688 (13.625)
Epoch: [20][20/28], lr: 0.01866	Time 1.940 (1.880)	Data 0.012 (0.544)	Loss 5.7188 (5.7679)	Prec@1 5.656 (4.969)	Prec@5 11.500 (13.500)
Epoch: [21][0/28], lr: 0.01853	Time 10.113 (10.113)	Data 9.770 (9.770)	Loss 5.7812 (5.7812)	Prec@1 4.688 (4.688)	Prec@5 12.875 (12.875)
Epoch: [21][10/28], lr: 0.01853	Time 0.876 (2.375)	Data 0.009 (0.985)	Loss 5.7188 (5.7216)	Prec@1 6.844 (5.281)	Prec@5 15.250 (14.562)
Epoch: [21][20/28], lr: 0.01853	Time 1.732 (1.869)	Data 0.011 (0.550)	Loss 5.6250 (5.7158)	Prec@1 5.656 (5.219)	Prec@5 14.438 (14.562)
Epoch: [22][0/28], lr: 0.01839	Time 7.932 (7.932)	Data 7.626 (7.626)	Loss 5.7500 (5.7500)	Prec@1 5.875 (5.875)	Prec@5 13.688 (13.688)
Epoch: [22][10/28], lr: 0.01839	Time 0.695 (2.753)	Data 0.009 (0.788)	Loss 5.7500 (5.6705)	Prec@1 5.656 (5.812)	Prec@5 13.250 (14.438)
Epoch: [22][20/28], lr: 0.01839	Time 2.218 (2.094)	Data 0.011 (0.447)	Loss 5.6562 (5.6637)	Prec@1 5.281 (5.656)	Prec@5 12.500 (14.688)
Epoch: [23][0/28], lr: 0.01824	Time 9.917 (9.917)	Data 9.632 (9.632)	Loss 5.6562 (5.6562)	Prec@1 6.250 (6.250)	Prec@5 17.625 (17.625)
Epoch: [23][10/28], lr: 0.01824	Time 0.916 (2.554)	Data 0.009 (0.962)	Loss 5.6562 (5.6108)	Prec@1 6.062 (6.031)	Prec@5 16.625 (16.000)
Epoch: [23][20/28], lr: 0.01824	Time 2.224 (1.982)	Data 0.010 (0.539)	Loss 5.5625 (5.5997)	Prec@1 6.250 (6.062)	Prec@5 15.062 (16.000)
Epoch: [24][0/28], lr: 0.01809	Time 9.891 (9.891)	Data 9.583 (9.583)	Loss 5.5625 (5.5625)	Prec@1 6.625 (6.625)	Prec@5 17.625 (17.625)
Epoch: [24][10/28], lr: 0.01809	Time 0.792 (2.472)	Data 0.010 (0.962)	Loss 5.5625 (5.5455)	Prec@1 7.812 (6.469)	Prec@5 15.812 (16.875)
Epoch: [24][20/28], lr: 0.01809	Time 1.996 (1.950)	Data 0.012 (0.538)	Loss 5.5312 (5.5446)	Prec@1 6.625 (6.719)	Prec@5 17.000 (16.750)
Epoch: [25][0/28], lr: 0.01793	Time 10.798 (10.798)	Data 10.434 (10.434)	Loss 5.5000 (5.5000)	Prec@1 7.031 (7.031)	Prec@5 16.750 (16.750)
Epoch: [25][10/28], lr: 0.01793	Time 0.825 (2.348)	Data 0.010 (1.044)	Loss 5.4688 (5.4574)	Prec@1 9.000 (7.188)	Prec@5 20.500 (18.375)
Epoch: [25][20/28], lr: 0.01793	Time 1.779 (1.845)	Data 0.011 (0.582)	Loss 5.5000 (5.4509)	Prec@1 5.469 (7.188)	Prec@5 16.250 (18.375)
Epoch: [26][0/28], lr: 0.01777	Time 9.691 (9.691)	Data 9.366 (9.366)	Loss 5.5312 (5.5312)	Prec@1 6.438 (6.438)	Prec@5 16.000 (16.000)
Epoch: [26][10/28], lr: 0.01777	Time 0.781 (2.567)	Data 0.009 (0.951)	Loss 5.4062 (5.4034)	Prec@1 7.219 (7.219)	Prec@5 19.500 (18.875)
Epoch: [26][20/28], lr: 0.01777	Time 2.209 (1.969)	Data 0.014 (0.533)	Loss 5.3438 (5.3973)	Prec@1 5.875 (7.344)	Prec@5 16.375 (19.250)
Epoch: [27][0/28], lr: 0.01760	Time 9.878 (9.878)	Data 9.532 (9.532)	Loss 5.3750 (5.3750)	Prec@1 7.625 (7.625)	Prec@5 18.125 (18.125)
Epoch: [27][10/28], lr: 0.01760	Time 0.686 (2.580)	Data 0.010 (0.960)	Loss 5.3125 (5.3153)	Prec@1 9.750 (7.906)	Prec@5 22.125 (20.500)
Epoch: [27][20/28], lr: 0.01760	Time 2.244 (2.041)	Data 0.011 (0.537)	Loss 5.3750 (5.3214)	Prec@1 6.844 (7.906)	Prec@5 19.125 (20.500)
Epoch: [28][0/28], lr: 0.01743	Time 9.980 (9.980)	Data 9.637 (9.637)	Loss 5.2812 (5.2812)	Prec@1 9.188 (9.188)	Prec@5 21.625 (21.625)
Epoch: [28][10/28], lr: 0.01743	Time 0.777 (2.504)	Data 0.009 (0.969)	Loss 5.2188 (5.2557)	Prec@1 10.938 (8.750)	Prec@5 23.500 (21.875)
Epoch: [28][20/28], lr: 0.01743	Time 1.933 (1.923)	Data 0.009 (0.541)	Loss 5.2500 (5.2634)	Prec@1 7.438 (8.312)	Prec@5 19.875 (21.750)
Epoch: [29][0/28], lr: 0.01725	Time 9.684 (9.684)	Data 9.357 (9.357)	Loss 5.3125 (5.3125)	Prec@1 7.219 (7.219)	Prec@5 21.125 (21.125)
Epoch: [29][10/28], lr: 0.01725	Time 0.800 (2.562)	Data 0.012 (0.941)	Loss 5.2500 (5.2244)	Prec@1 9.188 (8.438)	Prec@5 22.625 (22.500)
Epoch: [29][20/28], lr: 0.01725	Time 2.039 (1.938)	Data 0.009 (0.528)	Loss 5.2500 (5.2143)	Prec@1 6.625 (8.500)	Prec@5 19.875 (22.125)
Epoch: [30][0/28], lr: 0.01707	Time 9.225 (9.225)	Data 8.923 (8.923)	Loss 5.2188 (5.2188)	Prec@1 9.000 (9.000)	Prec@5 23.000 (23.000)
Epoch: [30][10/28], lr: 0.01707	Time 0.807 (2.657)	Data 0.013 (0.901)	Loss 5.0938 (5.1307)	Prec@1 11.938 (10.250)	Prec@5 25.250 (23.500)
Epoch: [30][20/28], lr: 0.01707	Time 1.361 (2.013)	Data 0.010 (0.507)	Loss 5.1562 (5.1265)	Prec@1 9.938 (9.875)	Prec@5 21.875 (23.625)
Epoch: [31][0/28], lr: 0.01688	Time 8.034 (8.034)	Data 7.727 (7.727)	Loss 5.2188 (5.2188)	Prec@1 7.219 (7.219)	Prec@5 20.750 (20.750)
Epoch: [31][10/28], lr: 0.01688	Time 0.792 (2.743)	Data 0.009 (0.800)	Loss 5.1250 (5.1222)	Prec@1 12.125 (9.438)	Prec@5 22.625 (23.500)
Epoch: [31][20/28], lr: 0.01688	Time 1.274 (2.000)	Data 0.010 (0.454)	Loss 5.1250 (5.1086)	Prec@1 7.625 (9.500)	Prec@5 21.875 (23.625)
Epoch: [32][0/28], lr: 0.01669	Time 9.971 (9.971)	Data 9.653 (9.653)	Loss 5.0625 (5.0625)	Prec@1 10.562 (10.562)	Prec@5 25.000 (25.000)
Epoch: [32][10/28], lr: 0.01669	Time 0.775 (2.562)	Data 0.010 (0.967)	Loss 5.0625 (5.0597)	Prec@1 10.938 (10.375)	Prec@5 24.625 (24.750)
Epoch: [32][20/28], lr: 0.01669	Time 2.070 (1.995)	Data 0.011 (0.542)	Loss 5.0312 (5.0640)	Prec@1 9.188 (9.875)	Prec@5 23.625 (24.625)
Epoch: [33][0/28], lr: 0.01649	Time 10.012 (10.012)	Data 9.702 (9.702)	Loss 5.0938 (5.0938)	Prec@1 10.125 (10.125)	Prec@5 25.000 (25.000)
Epoch: [33][10/28], lr: 0.01649	Time 0.792 (2.467)	Data 0.010 (1.002)	Loss 5.0938 (5.0256)	Prec@1 10.562 (10.562)	Prec@5 24.750 (25.875)
Epoch: [33][20/28], lr: 0.01649	Time 1.450 (1.908)	Data 0.012 (0.565)	Loss 4.9688 (5.0179)	Prec@1 9.938 (10.562)	Prec@5 25.750 (25.500)
Epoch: [34][0/28], lr: 0.01629	Time 9.894 (9.894)	Data 9.574 (9.574)	Loss 5.0625 (5.0625)	Prec@1 9.750 (9.750)	Prec@5 24.375 (24.375)
Epoch: [34][10/28], lr: 0.01629	Time 0.682 (2.599)	Data 0.012 (0.970)	Loss 4.9062 (4.9659)	Prec@1 11.500 (11.562)	Prec@5 26.375 (25.875)
Epoch: [34][20/28], lr: 0.01629	Time 2.213 (2.030)	Data 0.012 (0.543)	Loss 5.0000 (4.9688)	Prec@1 10.562 (11.188)	Prec@5 25.000 (25.875)
Epoch: [35][0/28], lr: 0.01609	Time 9.916 (9.916)	Data 9.587 (9.587)	Loss 4.9062 (4.9062)	Prec@1 12.312 (12.312)	Prec@5 28.125 (28.125)
