Epoch: [0][0/113], lr: 0.02000	Time 42.780 (42.780)	Data 3.431 (3.431)	Loss 7.1562 (7.1562)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [0][10/113], lr: 0.02000	Time 0.463 (21.857)	Data 0.013 (15.561)	Loss 8.3125 (9.2244)	Prec@1 2.344 (0.852)	Prec@5 3.906 (2.984)
Epoch: [0][20/113], lr: 0.02000	Time 0.552 (18.027)	Data 0.012 (14.423)	Loss 7.8438 (8.9658)	Prec@1 1.562 (0.855)	Prec@5 3.906 (2.984)
Epoch: [0][30/113], lr: 0.02000	Time 0.456 (12.404)	Data 0.014 (9.796)	Loss 6.9688 (8.3770)	Prec@1 0.781 (0.977)	Prec@5 2.344 (3.359)
Epoch: [0][40/113], lr: 0.02000	Time 0.458 (9.526)	Data 0.016 (7.426)	Loss 6.8125 (8.0549)	Prec@1 1.562 (0.992)	Prec@5 4.688 (3.609)
Epoch: [0][50/113], lr: 0.02000	Time 0.454 (7.770)	Data 0.014 (5.986)	Loss 6.7500 (7.8119)	Prec@1 0.000 (0.961)	Prec@5 4.688 (3.828)
Epoch: [0][60/113], lr: 0.02000	Time 0.454 (6.593)	Data 0.016 (5.018)	Loss 6.6562 (7.6281)	Prec@1 0.781 (0.938)	Prec@5 3.906 (4.031)
Epoch: [0][70/113], lr: 0.02000	Time 0.453 (5.741)	Data 0.013 (4.322)	Loss 6.5312 (7.4758)	Prec@1 0.000 (0.973)	Prec@5 1.562 (4.094)
Epoch: [0][80/113], lr: 0.02000	Time 0.455 (5.112)	Data 0.014 (3.799)	Loss 6.5625 (7.3584)	Prec@1 0.000 (0.988)	Prec@5 2.344 (4.031)
Epoch: [0][90/113], lr: 0.02000	Time 0.453 (4.616)	Data 0.014 (3.390)	Loss 6.5000 (7.2637)	Prec@1 0.000 (1.023)	Prec@5 3.906 (4.125)
Epoch: [0][100/113], lr: 0.02000	Time 0.457 (4.221)	Data 0.017 (3.063)	Loss 6.4688 (7.1844)	Prec@1 0.000 (1.000)	Prec@5 1.562 (4.156)
Epoch: [0][110/113], lr: 0.02000	Time 0.453 (3.889)	Data 0.017 (2.794)	Loss 6.4688 (7.1230)	Prec@1 0.781 (1.008)	Prec@5 3.125 (4.094)
Epoch: [1][0/113], lr: 0.02000	Time 4.573 (4.573)	Data 2.703 (2.703)	Loss 6.6562 (6.6562)	Prec@1 0.781 (0.781)	Prec@5 1.562 (1.562)
Epoch: [1][10/113], lr: 0.02000	Time 0.459 (10.119)	Data 0.015 (9.438)	Loss 6.4688 (6.4403)	Prec@1 2.344 (1.133)	Prec@5 7.031 (4.531)
Epoch: [1][20/113], lr: 0.02000	Time 0.461 (5.599)	Data 0.019 (4.985)	Loss 6.4062 (6.4435)	Prec@1 0.781 (1.188)	Prec@5 7.031 (4.750)
Epoch: [1][30/113], lr: 0.02000	Time 0.461 (3.979)	Data 0.016 (3.403)	Loss 6.4375 (6.4294)	Prec@1 1.562 (1.203)	Prec@5 3.125 (4.812)
Epoch: [1][40/113], lr: 0.02000	Time 0.461 (3.156)	Data 0.017 (2.593)	Loss 6.4688 (6.4352)	Prec@1 1.562 (1.188)	Prec@5 4.688 (4.938)
Epoch: [1][50/113], lr: 0.02000	Time 0.459 (2.648)	Data 0.017 (2.101)	Loss 6.5312 (6.4332)	Prec@1 0.781 (1.188)	Prec@5 3.906 (4.906)
Epoch: [1][60/113], lr: 0.02000	Time 0.457 (2.310)	Data 0.017 (1.771)	Loss 6.4375 (6.4339)	Prec@1 2.344 (1.172)	Prec@5 5.469 (4.938)
Epoch: [1][70/113], lr: 0.02000	Time 0.457 (2.063)	Data 0.017 (1.533)	Loss 6.3750 (6.4318)	Prec@1 1.562 (1.242)	Prec@5 3.906 (5.062)
Epoch: [1][80/113], lr: 0.02000	Time 0.460 (1.877)	Data 0.019 (1.354)	Loss 6.5312 (6.4348)	Prec@1 0.000 (1.250)	Prec@5 3.125 (5.125)
Epoch: [1][90/113], lr: 0.02000	Time 0.461 (1.730)	Data 0.016 (1.214)	Loss 6.4688 (6.4337)	Prec@1 0.000 (1.258)	Prec@5 3.906 (5.188)
Epoch: [1][100/113], lr: 0.02000	Time 0.457 (1.618)	Data 0.017 (1.102)	Loss 6.4062 (6.4335)	Prec@1 0.781 (1.211)	Prec@5 3.125 (5.094)
Epoch: [1][110/113], lr: 0.02000	Time 0.455 (1.521)	Data 0.017 (1.011)	Loss 6.4375 (6.4367)	Prec@1 1.562 (1.242)	Prec@5 3.125 (5.000)
Epoch: [2][0/113], lr: 0.01999	Time 6.512 (6.512)	Data 1.400 (1.400)	Loss 6.6250 (6.6250)	Prec@1 0.781 (0.781)	Prec@5 1.562 (1.562)
Epoch: [2][10/113], lr: 0.01999	Time 0.603 (1.301)	Data 0.067 (0.264)	Loss 6.4375 (6.4205)	Prec@1 2.344 (1.492)	Prec@5 7.031 (4.812)
Epoch: [2][20/113], lr: 0.01999	Time 0.473 (0.996)	Data 0.018 (0.196)	Loss 6.4062 (6.4196)	Prec@1 0.000 (1.367)	Prec@5 6.250 (5.062)
Epoch: [2][30/113], lr: 0.01999	Time 0.454 (0.851)	Data 0.017 (0.160)	Loss 6.4375 (6.4113)	Prec@1 0.781 (1.367)	Prec@5 3.906 (5.219)
