Epoch: [0][0/28], lr: 0.02000	Time 31.587 (31.587)	Data 10.430 (10.430)	Loss 10.9375 (10.9375)	Prec@1 0.195 (0.195)	Prec@5 0.781 (0.781)
Epoch: [0][10/28], lr: 0.02000	Time 1.000 (13.399)	Data 0.008 (9.875)	Loss 10.4375 (10.6080)	Prec@1 0.391 (0.621)	Prec@5 5.875 (3.047)
Epoch: [0][20/28], lr: 0.02000	Time 0.763 (10.102)	Data 0.009 (7.586)	Loss 10.3125 (10.5030)	Prec@1 0.977 (0.855)	Prec@5 3.312 (3.625)
Epoch: [1][0/28], lr: 0.02000	Time 10.658 (10.658)	Data 9.781 (9.781)	Loss 10.1250 (10.1250)	Prec@1 1.172 (1.172)	Prec@5 7.438 (7.438)
Epoch: [1][10/28], lr: 0.02000	Time 1.083 (8.069)	Data 0.009 (6.302)	Loss 10.0625 (10.0625)	Prec@1 2.156 (1.969)	Prec@5 7.031 (6.812)
Epoch: [1][20/28], lr: 0.02000	Time 0.844 (6.109)	Data 0.009 (4.519)	Loss 9.9375 (10.0060)	Prec@1 2.531 (2.234)	Prec@5 7.438 (7.469)
Epoch: [2][0/28], lr: 0.01999	Time 9.887 (9.887)	Data 9.359 (9.359)	Loss 9.8750 (9.8750)	Prec@1 2.938 (2.938)	Prec@5 10.562 (10.562)
Epoch: [2][10/28], lr: 0.01999	Time 0.918 (2.794)	Data 0.008 (0.945)	Loss 9.8125 (9.7955)	Prec@1 4.500 (3.594)	Prec@5 11.125 (10.688)
Epoch: [2][20/28], lr: 0.01999	Time 0.976 (2.118)	Data 0.012 (0.528)	Loss 9.6250 (9.7530)	Prec@1 3.516 (3.875)	Prec@5 10.562 (11.250)
Epoch: [3][0/28], lr: 0.01997	Time 7.660 (7.660)	Data 7.253 (7.253)	Loss 9.6250 (9.6250)	Prec@1 4.688 (4.688)	Prec@5 11.938 (11.938)
Epoch: [3][10/28], lr: 0.01997	Time 0.881 (2.920)	Data 0.008 (0.752)	Loss 9.5000 (9.5568)	Prec@1 5.875 (5.094)	Prec@5 14.250 (13.188)
Epoch: [3][20/28], lr: 0.01997	Time 2.959 (2.264)	Data 0.009 (0.428)	Loss 9.4375 (9.5208)	Prec@1 6.438 (5.438)	Prec@5 12.875 (13.688)
Epoch: [4][0/28], lr: 0.01995	Time 9.591 (9.591)	Data 9.092 (9.092)	Loss 9.3750 (9.3750)	Prec@1 6.062 (6.062)	Prec@5 16.000 (16.000)
Epoch: [4][10/28], lr: 0.01995	Time 1.045 (2.779)	Data 0.009 (0.917)	Loss 9.3750 (9.3580)	Prec@1 6.844 (6.188)	Prec@5 15.438 (15.562)
Epoch: [4][20/28], lr: 0.01995	Time 2.936 (2.231)	Data 0.011 (0.514)	Loss 9.2500 (9.3304)	Prec@1 5.469 (6.188)	Prec@5 16.375 (16.000)
Epoch: [5][0/28], lr: 0.01991	Time 9.550 (9.550)	Data 9.066 (9.066)	Loss 9.3750 (9.3750)	Prec@1 6.250 (6.250)	Prec@5 16.000 (16.000)
Epoch: [5][10/28], lr: 0.01991	Time 0.987 (2.941)	Data 0.008 (0.917)	Loss 9.1875 (9.1875)	Prec@1 7.625 (7.312)	Prec@5 19.375 (17.875)
Epoch: [5][20/28], lr: 0.01991	Time 2.390 (2.264)	Data 0.010 (0.514)	Loss 9.0625 (9.1577)	Prec@1 7.438 (7.531)	Prec@5 16.625 (18.375)
Epoch: [6][0/28], lr: 0.01988	Time 9.695 (9.695)	Data 9.296 (9.296)	Loss 9.0625 (9.0625)	Prec@1 7.219 (7.219)	Prec@5 20.125 (20.125)
Epoch: [6][10/28], lr: 0.01988	Time 0.894 (2.774)	Data 0.009 (0.941)	Loss 8.9375 (9.0000)	Prec@1 9.375 (9.000)	Prec@5 22.875 (21.125)
Epoch: [6][20/28], lr: 0.01988	Time 2.404 (2.210)	Data 0.011 (0.532)	Loss 8.8750 (8.9792)	Prec@1 8.625 (8.938)	Prec@5 20.750 (21.375)
Epoch: [7][0/28], lr: 0.01983	Time 9.656 (9.656)	Data 9.208 (9.208)	Loss 8.8750 (8.8750)	Prec@1 9.375 (9.375)	Prec@5 23.000 (23.000)
Epoch: [7][10/28], lr: 0.01983	Time 0.811 (2.864)	Data 0.010 (0.933)	Loss 8.8125 (8.8409)	Prec@1 10.750 (10.062)	Prec@5 23.500 (22.875)
