Epoch: [0][0/113], lr: 0.02000	Time 40.850 (40.850)	Data 3.379 (3.379)	Loss 11.1250 (11.1250)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][10/113], lr: 0.02000	Time 0.894 (22.109)	Data 0.015 (15.599)	Loss 10.9375 (10.8920)	Prec@1 3.125 (0.922)	Prec@5 7.031 (2.938)
Epoch: [0][20/113], lr: 0.02000	Time 0.860 (18.560)	Data 0.014 (14.660)	Loss 10.8750 (11.0000)	Prec@1 0.781 (1.188)	Prec@5 1.562 (3.406)
Epoch: [0][30/113], lr: 0.02000	Time 0.897 (12.895)	Data 0.020 (9.958)	Loss 10.8750 (10.9677)	Prec@1 0.000 (1.000)	Prec@5 1.562 (3.188)
Epoch: [0][40/113], lr: 0.02000	Time 0.888 (10.019)	Data 0.014 (7.549)	Loss 10.7500 (10.9177)	Prec@1 1.562 (1.086)	Prec@5 4.688 (3.812)
Epoch: [0][50/113], lr: 0.02000	Time 0.877 (8.246)	Data 0.015 (6.085)	Loss 10.6250 (10.8284)	Prec@1 0.781 (1.141)	Prec@5 3.906 (4.188)
Epoch: [0][60/113], lr: 0.02000	Time 0.903 (7.055)	Data 0.015 (5.101)	Loss 10.1875 (10.7582)	Prec@1 0.781 (1.180)	Prec@5 7.031 (4.406)
Epoch: [0][70/113], lr: 0.02000	Time 0.841 (6.198)	Data 0.015 (4.394)	Loss 10.1250 (10.6857)	Prec@1 1.562 (1.336)	Prec@5 6.250 (4.688)
Epoch: [0][80/113], lr: 0.02000	Time 0.883 (5.554)	Data 0.015 (3.861)	Loss 10.3750 (10.6381)	Prec@1 0.781 (1.461)	Prec@5 3.125 (4.875)
Epoch: [0][90/113], lr: 0.02000	Time 0.884 (5.050)	Data 0.015 (3.446)	Loss 10.2500 (10.5838)	Prec@1 2.344 (1.594)	Prec@5 8.625 (5.188)
Epoch: [0][100/113], lr: 0.02000	Time 0.868 (4.648)	Data 0.015 (3.113)	Loss 10.1250 (10.5439)	Prec@1 2.344 (1.617)	Prec@5 7.812 (5.438)
Epoch: [0][110/113], lr: 0.02000	Time 0.852 (4.316)	Data 0.015 (2.840)	Loss 10.0625 (10.5124)	Prec@1 0.781 (1.641)	Prec@5 7.031 (5.656)
Epoch: [1][0/113], lr: 0.02000	Time 4.683 (4.683)	Data 2.623 (2.623)	Loss 10.4375 (10.4375)	Prec@1 1.562 (1.562)	Prec@5 3.125 (3.125)
